date,sentiment
2021-05-12,-0.234102
2021-05-13,-0.042596
2021-05-14,-0.493472
2021-05-15,-0.173193
2021-05-16,-0.362839
2021-05-17,-0.187503
2021-05-18,-0.103474
2021-05-19,-0.017711
2021-05-20,-0.131329
2021-05-21,0.051219
2021-05-22,-0.278861
2021-05-23,-0.58457
2021-05-24,-0.310297
2021-05-25,-0.476614
2021-05-26,-0.258826
2021-05-27,-0.116009
2021-05-28,-0.040519
2021-05-29,-0.612794
2021-05-30,-0.439135
2021-05-31,-0.256273
2021-06-01,-0.359247
2021-06-02,-0.31193
2021-06-03,-0.128619
2021-06-04,-0.487024
2021-06-05,-0.18646
2021-06-06,-0.629762
2021-06-07,-0.451042
2021-06-08,0.122382
2021-06-09,-0.373264
2021-06-10,0.062937
2021-06-11,-0.021327
2021-06-12,-0.477594
2021-06-13,-0.383646
2021-06-14,-0.396802
2021-06-15,-0.233096
2021-06-16,-0.282778
2021-06-17,0.068827
2021-06-18,-0.1664
2021-06-19,-0.628624
2021-06-20,-0.355056
2021-06-21,-0.259804
2021-06-22,-0.257071
2021-06-23,-0.242175
2021-06-24,0.050838
2021-06-25,0.027794
2021-06-26,-0.286978
2021-06-27,-0.248985
2021-06-28,-0.246257
2021-06-29,-0.404747
2021-06-30,-0.438636
2021-07-01,-0.480922
2021-07-02,-0.600413
2021-07-03,-0.189423
2021-07-04,-0.487856
2021-07-05,-0.353746
2021-07-06,-0.232304
2021-07-07,-0.597635
2021-07-08,-0.065698
2021-07-09,-0.011696
2021-07-10,-0.397833
2021-07-11,-0.211566
2021-07-12,-0.211054
2021-07-13,-0.219374
2021-07-14,0.141574
2021-07-15,-0.236841
2021-07-16,0.009321
2021-07-17,-0.452149
2021-07-18,-0.29614
2021-07-19,0.096038
2021-07-20,-0.236713
2021-07-21,-0.409017
2021-07-22,-0.169978
2021-07-23,0.03455
2021-07-24,-0.10605
2021-07-25,-0.045465
2021-07-26,-0.298627
2021-07-27,-0.107612
2021-07-28,-0.233613
2021-07-29,-0.451267
2021-07-30,0.032424
2021-07-31,-0.063289
2021-08-01,-0.404076
2021-08-02,0.153698
2021-08-03,-0.497051
2021-08-04,-0.303311
2021-08-05,0.037953
2021-08-06,-0.156278
2021-08-07,-0.111008
2021-08-08,-0.283886
2021-08-09,-0.209099
2021-08-10,-0.361353
2021-08-11,0.040903
2021-08-12,-0.04631
2021-08-13,-0.172837
2021-08-14,-0.362658
2021-08-15,-0.343652
2021-08-16,-0.256213
2021-08-17,-0.124624
2021-08-18,-0.460871
2021-08-19,-0.388915
2021-08-20,-0.498911
2021-08-21,-0.358222
2021-08-22,-0.485212
2021-08-23,-0.30969
2021-08-24,-0.4134
2021-08-25,-0.370382
2021-08-26,-0.108979
2021-08-27,-0.191809
2021-08-28,-0.486501
2021-08-29,-0.14226
2021-08-30,-0.524533
2021-08-31,-0.26361
2021-09-01,-0.482145
2021-09-02,-0.444218
2021-09-03,-0.399932
2021-09-04,-0.13081
2021-09-05,-0.413716
2021-09-06,-0.150933
2021-09-07,-0.197224
2021-09-08,-0.472152
2021-09-09,-0.229812
2021-09-10,-0.586753
2021-09-11,-0.284574
2021-09-12,-0.360998
2021-09-13,-0.212094
2021-09-14,-0.08202
2021-09-15,0.059718
2021-09-16,-0.561064
2021-09-17,-0.275743
2021-09-18,-0.538207
2021-09-19,-0.166044
2021-09-20,0.152171
2021-09-21,-0.14901
2021-09-22,-0.547447
2021-09-23,0.035046
2021-09-24,0.032153
2021-09-25,-0.224762
2021-09-26,-0.330998
2021-09-27,0.035468
2021-09-28,-0.149907
2021-09-29,-0.215778
2021-09-30,-0.008554
2021-10-01,-0.249082
2021-10-02,-0.241423
2021-10-03,-0.179286
2021-10-04,-0.183318
2021-10-05,-0.235009
2021-10-06,-0.221591
2021-10-07,-0.312349
2021-10-08,-0.224373
2021-10-09,-0.191351
2021-10-10,-0.539428
2021-10-11,0.063775
2021-10-12,-0.524176
2021-10-13,-0.069505
2021-10-14,-0.125111
2021-10-15,-0.152985
2021-10-16,-0.581618
2021-10-17,-0.197247
2021-10-18,-0.083864
2021-10-19,-0.02355
2021-10-20,-0.163012
2021-10-21,-0.262217
2021-10-22,-0.078294
2021-10-23,-0.074617
2021-10-24,-0.102666
2021-10-25,0.023384
2021-10-26,-0.216545
2021-10-27,-0.303435
2021-10-28,-0.370202
2021-10-29,-0.216224
2021-10-30,-0.284816
2021-10-31,-0.282234
2021-11-01,-0.117853
2021-11-02,-0.252435
2021-11-03,-0.301827
2021-11-04,-0.410392
2021-11-05,-0.238369
2021-11-06,-0.310488
2021-11-07,-0.327322
2021-11-08,-0.547941
2021-11-09,-0.259315
2021-11-10,-0.085541
2021-11-11,-0.669192
2021-11-12,-0.280235
2021-11-13,0.046585
2021-11-14,-0.142926
2021-11-15,-0.228119
2021-11-16,-0.073
2021-11-17,0.212129
2021-11-18,-0.146522
2021-11-19,-0.257107
2021-11-20,0.045448
2021-11-21,-0.319516
2021-11-22,-0.301661
2021-11-23,-0.191516
2021-11-24,-0.301334
2021-11-25,-0.139445
2021-11-26,-0.579268
2021-11-27,-0.35371
2021-11-28,-0.299783
2021-11-29,-0.105255
2021-11-30,-0.122281
2021-12-01,-0.180231
2021-12-02,-0.515168
2021-12-03,-0.424494
2021-12-04,-0.516579
2021-12-05,-0.009494
2021-12-06,-0.376951
2021-12-07,-0.740046
2021-12-08,-0.236907
2021-12-09,-0.24873
2021-12-10,0.014468
2021-12-11,-0.140295
2021-12-12,-0.302929
2021-12-13,0.015182
2021-12-14,-0.334401
2021-12-15,-0.041827
2021-12-16,-0.031265
2021-12-17,-0.441088
2021-12-18,-0.281506
2021-12-19,-0.635831
2021-12-20,-0.113636
2021-12-21,-0.167486
2021-12-22,-0.402573
2021-12-23,-0.280074
2021-12-24,-0.354903
2021-12-25,-0.4264
2021-12-26,-0.12426
2021-12-27,-0.136438
2021-12-28,0.00573
2021-12-29,-0.133227
2021-12-30,-0.249963
2021-12-31,-0.137021
2022-01-01,-0.453856
2022-01-02,-0.342376
2022-01-03,-0.389096
2022-01-04,-0.25203
2022-01-05,-0.084335
2022-01-06,-0.09547
2022-01-07,-0.482994
2022-01-08,-0.418519
2022-01-09,-0.15296
2022-01-10,-0.139959
2022-01-11,-0.165754
2022-01-12,-0.326191
2022-01-13,-0.127294
2022-01-14,-0.506639
2022-01-15,-0.446461
2022-01-16,-0.424147
2022-01-17,-0.109793
2022-01-18,-0.374034
2022-01-19,0.024231
2022-01-20,-0.120567
2022-01-21,-0.357939
2022-01-22,-0.09788
2022-01-23,-0.404141
2022-01-24,-0.457909
2022-01-25,-0.246861
2022-01-26,-0.360083
2022-01-27,-0.092204
